,solver,#DV,T,stepsize,interval,niter_limit,niter_success,tol,fun,niter,nfev,,
0,,,1,0.5,50,1000,,1.00E-05,5.62E-11,2,51140,,
1,basinhopping,50,0.1,0.5,50,1000,,1.00E-05,5.62E-11,1,45784,,T     Range:  0.1 to 1.5 
2,basinhopping,50,0.5,0.5,50,1000,,1.00E-05,5.62E-11,1,45784,,Should be comparable to the separation (in function value) between local minima.
3,basinhopping,50,1.5,0.5,50,1000,,1.00E-05,5.62E-11,1,45784,,
4,basinhopping,50,1,0.5,35,1000,,1.00E-05,5.62E-11,1,45784,,Interval    Range:  35 to 65
5,basinhopping,50,1,0.5,65,1000,,1.00E-05,5.62E-11,1,45784,,Rate to update stepsize
6,basinhopping,50,1,0.5,45,1000,,1.00E-05,5.62E-11,1,45784,,
7,basinhopping,50,1,0.2,50,1000,,1.00E-05,6.09E-11,1,46304,,Stepsize   0.2 to 0.6
8,basinhopping,50,1,0.4,50,1000,,1.00E-05,6.22E-11,1,40780,,Maximum step size for use in the random displacement.
9,basinhopping,50,1,0.6,50,1000,,1.00E-05,6.22E-11,1,41508,,
10,basinhopping,50,1,0.5,50,1000,1,1.00E-05,5.62E-11,1,45784,,niter success    Range 1 to 10
11,basinhopping,50,1,0.5,50,1000,5,1.00E-05,5.62E-11,1,45784,,Stop the run if the global minimum candidate remains the same for this number of iterations.
12,basinhopping,50,1,0.5,50,1000,10,1.00E-05,5.62E-11,1,45784,,
13,basinhopping,50,1,0.5,50,100,,1.00E-05,5.62E-11,1,45784,,niter limit   Range 100 to 10000
14,basinhopping,50,1,0.5,50,3000,,1.00E-05,5.62E-11,1,45784,,max number of solver iterations
15,basinhopping,50,1,0.5,50,10000,,1.00E-05,5.62E-11,1,45784,,
16,basinhopping,50,1,0.5,50,1000,,0.1,5.62E-11,1,45784,,tol    Range:  0.1 to 1e-10
17,basinhopping,50,1,0.5,50,1000,,1.00E-05,5.62E-11,1,45784,,Relative Tolerance - minimum difference between candidate solutions
18,basinhopping,50,1,0.5,50,1000,,1.00E-10,5.62E-11,1,45784,,
